,videoname,framepath,frame_num,label
0,April_09_brush_hair_u_nm_np1_ba_goo_0,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_0,16,0
1,April_09_brush_hair_u_nm_np1_ba_goo_1,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_1,16,0
2,April_09_brush_hair_u_nm_np1_ba_goo_2,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_2,16,0
3,atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0,16,0
4,atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1,16,0
5,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4,16,0
6,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3,16,0
7,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0,16,0
8,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1,16,0
9,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2,16,0
10,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3,16,0
11,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1,16,0
12,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2,16,0
13,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0,16,0
14,Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0,16,0
15,Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1,16,0
16,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1,16,0
17,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2,16,0
18,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4,16,0
19,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3,16,0
20,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0,16,0
21,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6,16,0
22,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5,16,0
23,brushing_hair_2_brush_hair_h_nm_np1_ba_med_0,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_0,16,0
24,brushing_hair_2_brush_hair_h_nm_np1_ba_med_1,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_1,16,0
25,brushing_hair_2_brush_hair_h_nm_np1_ba_med_2,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_2,16,0
26,brushing_hair_brush_hair_f_cm_np2_ri_goo_0,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/brushing_hair_brush_hair_f_cm_np2_ri_goo_0,16,0
27,brushing_hair_brush_hair_f_nm_np2_ba_goo_2,D:\PythonCode\Pytorch-VideoUnderstand-master\data\hmdb51\split16/brush_hair/brushing_hair_brush_hair_f_nm_np2_ba_goo_2,16,0
