,name,framepath,label
0,0,D:\split_video\class_action_16\playphone\0,0
1,1,D:\split_video\class_action_16\playphone\1,0
2,10,D:\split_video\class_action_16\playphone\10,0
3,100,D:\split_video\class_action_16\playphone\100,0
4,101,D:\split_video\class_action_16\playphone\101,0
5,102,D:\split_video\class_action_16\playphone\102,0
6,103,D:\split_video\class_action_16\playphone\103,0
7,104,D:\split_video\class_action_16\playphone\104,0
8,105,D:\split_video\class_action_16\playphone\105,0
9,106,D:\split_video\class_action_16\playphone\106,0
10,107,D:\split_video\class_action_16\playphone\107,0
11,108,D:\split_video\class_action_16\playphone\108,0
12,109,D:\split_video\class_action_16\playphone\109,0
13,11,D:\split_video\class_action_16\playphone\11,0
14,110,D:\split_video\class_action_16\playphone\110,0
15,111,D:\split_video\class_action_16\playphone\111,0
16,112,D:\split_video\class_action_16\playphone\112,0
17,113,D:\split_video\class_action_16\playphone\113,0
18,114,D:\split_video\class_action_16\playphone\114,0
19,115,D:\split_video\class_action_16\playphone\115,0
20,116,D:\split_video\class_action_16\playphone\116,0
21,117,D:\split_video\class_action_16\playphone\117,0
22,118,D:\split_video\class_action_16\playphone\118,0
23,12,D:\split_video\class_action_16\playphone\12,0
24,13,D:\split_video\class_action_16\playphone\13,0
25,14,D:\split_video\class_action_16\playphone\14,0
26,15,D:\split_video\class_action_16\playphone\15,0
27,16,D:\split_video\class_action_16\playphone\16,0
28,17,D:\split_video\class_action_16\playphone\17,0
29,18,D:\split_video\class_action_16\playphone\18,0
30,19,D:\split_video\class_action_16\playphone\19,0
31,2,D:\split_video\class_action_16\playphone\2,0
32,20,D:\split_video\class_action_16\playphone\20,0
33,21,D:\split_video\class_action_16\playphone\21,0
34,22,D:\split_video\class_action_16\playphone\22,0
35,23,D:\split_video\class_action_16\playphone\23,0
36,24,D:\split_video\class_action_16\playphone\24,0
37,25,D:\split_video\class_action_16\playphone\25,0
38,26,D:\split_video\class_action_16\playphone\26,0
39,27,D:\split_video\class_action_16\playphone\27,0
40,28,D:\split_video\class_action_16\playphone\28,0
41,29,D:\split_video\class_action_16\playphone\29,0
42,3,D:\split_video\class_action_16\playphone\3,0
43,30,D:\split_video\class_action_16\playphone\30,0
44,31,D:\split_video\class_action_16\playphone\31,0
45,32,D:\split_video\class_action_16\playphone\32,0
46,33,D:\split_video\class_action_16\playphone\33,0
47,34,D:\split_video\class_action_16\playphone\34,0
48,35,D:\split_video\class_action_16\playphone\35,0
49,36,D:\split_video\class_action_16\playphone\36,0
50,37,D:\split_video\class_action_16\playphone\37,0
51,38,D:\split_video\class_action_16\playphone\38,0
52,39,D:\split_video\class_action_16\playphone\39,0
53,4,D:\split_video\class_action_16\playphone\4,0
54,40,D:\split_video\class_action_16\playphone\40,0
55,41,D:\split_video\class_action_16\playphone\41,0
56,42,D:\split_video\class_action_16\playphone\42,0
57,43,D:\split_video\class_action_16\playphone\43,0
58,44,D:\split_video\class_action_16\playphone\44,0
59,45,D:\split_video\class_action_16\playphone\45,0
60,46,D:\split_video\class_action_16\playphone\46,0
61,47,D:\split_video\class_action_16\playphone\47,0
62,48,D:\split_video\class_action_16\playphone\48,0
63,49,D:\split_video\class_action_16\playphone\49,0
64,5,D:\split_video\class_action_16\playphone\5,0
65,50,D:\split_video\class_action_16\playphone\50,0
66,51,D:\split_video\class_action_16\playphone\51,0
67,52,D:\split_video\class_action_16\playphone\52,0
68,53,D:\split_video\class_action_16\playphone\53,0
69,54,D:\split_video\class_action_16\playphone\54,0
70,55,D:\split_video\class_action_16\playphone\55,0
71,56,D:\split_video\class_action_16\playphone\56,0
72,57,D:\split_video\class_action_16\playphone\57,0
73,58,D:\split_video\class_action_16\playphone\58,0
74,59,D:\split_video\class_action_16\playphone\59,0
75,6,D:\split_video\class_action_16\playphone\6,0
76,60,D:\split_video\class_action_16\playphone\60,0
77,61,D:\split_video\class_action_16\playphone\61,0
78,62,D:\split_video\class_action_16\playphone\62,0
79,63,D:\split_video\class_action_16\playphone\63,0
80,64,D:\split_video\class_action_16\playphone\64,0
81,65,D:\split_video\class_action_16\playphone\65,0
82,66,D:\split_video\class_action_16\playphone\66,0
83,67,D:\split_video\class_action_16\playphone\67,0
84,68,D:\split_video\class_action_16\playphone\68,0
85,69,D:\split_video\class_action_16\playphone\69,0
86,7,D:\split_video\class_action_16\playphone\7,0
